"year","oblast","rayon","Voted","dem","prorus","region","sum"
2006,"Донецька область","місто Єнакієве",78271,0.0176310510917198,0.950122011984004,"Донбас",0.967753063075724
2006,"Донецька область","місто Жданівка",8581,0.0502272462416968,0.910499941731733,"Донбас",0.96072718797343
2006,"Донецька область","місто Кіровське",14006,0.0281308010852492,0.928673425674711,"Донбас",0.95680422675996
2006,"Донецька область","місто Харцизьк",62034,0.0314827352742045,0.917416255601767,"Донбас",0.948898990875971
2006,"Донецька область","місто Костянтинівка",43486,0.042036517499885,0.896863358322219,"Донбас",0.938899875822104
2006,"Донецька область","місто Дружківка",37085,0.0547391128488607,0.886773628151544,"Донбас",0.941512741000404
2006,"Донецька область","місто Торез",51515,0.0295836164224012,0.923963894011453,"Донбас",0.953547510433854
2006,"Донецька область","місто Макіївка",221910,0.0300617367401199,0.922301834076878,"Донбас",0.952363570816998
2006,"Донецька область","місто Маріуполь",242453,0.0391746029127295,0.88159354596561,"Донбас",0.920768148878339
2006,"Донецька область","Добропільський район",11498,0.067229083318838,0.866672464776483,"Донбас",0.933901548095321
2006,"Донецька область","Покровський район",20526,0.0452109519633635,0.89238039559583,"Донбас",0.937591347559193
2006,"Донецька область","місто Покровськ",42677,0.0457389226046817,0.882981465426342,"Донбас",0.928720388031024
2006,"Донецька область","Олександрівський район",12785,0.0709425107547908,0.880328509972624,"Донбас",0.951271020727415
2006,"Донецька область","місто Добропілля",36284,0.055341197221916,0.882207033403153,"Донбас",0.937548230625069
2006,"Донецька область","місто Краматорськ",115202,0.088705057203868,0.861122202739536,"Донбас",0.949827259943404
2006,"Донецька область","місто Слов'янськ",86657,0.054859965149959,0.885675709983036,"Донбас",0.940535675132996
2006,"Донецька область","Слов'янський район",6798,0.0542806707855251,0.901588702559576,"Донбас",0.955869373345101
2006,"Донецька область","місто Шахтарськ",39043,0.0275081320595241,0.932663985861742,"Донбас",0.960172117921266
2006,"Донецька область","Шахтарський район",14068,0.0321296559567813,0.924011941996019,"Донбас",0.956141597952801
2006,"Донецька область","місто Сніжне",39152,0.0195136902329383,0.939134654679199,"Донбас",0.958648344912137
2006,"Донецька область","місто Авдіївка",21709,0.0447740568427841,0.893961029987563,"Донбас",0.938735086830347
2006,"Донецька область","місто Вугледар",10042,0.0665206134236208,0.875124477195778,"Донбас",0.941645090619399
2006,"Донецька область","місто Новогродівка",8948,0.0476084041126509,0.893272239606616,"Донбас",0.940880643719267
2006,"Донецька область","місто Селидове",30160,0.0507294429708223,0.888395225464191,"Донбас",0.939124668435013
2006,"Донецька область","місто Ясинувата",21999,0.0471839629074049,0.875857993545161,"Донбас",0.923041956452566
2006,"Донецька область","Ясинуватський район",17306,0.0408528833930429,0.902519357448284,"Донбас",0.943372240841327
2006,"Донецька область","Великоновосілківський район",27265,0.0610306253438474,0.869356317623327,"Донбас",0.930386942967174
2006,"Донецька область","Волноваський район",51605,0.0421277008041856,0.879779091173336,"Донбас",0.921906791977522
2006,"Донецька область","Нікольський район",18763,0.0267014869690348,0.915525235836487,"Донбас",0.942226722805522
2006,"Донецька область","Амвросіївський район",30364,0.0278948755104729,0.921222500329337,"Донбас",0.94911737583981
2006,"Донецька область","місто Докучаєвськ",14370,0.0359081419624217,0.888448155880306,"Донбас",0.924356297842728
2006,"Донецька область","Новоазовський район",23091,0.0217833788055953,0.919102680698108,"Донбас",0.940886059503703
2006,"Донецька область","Старобешівський район",32048,0.0274588117823265,0.911320519221168,"Донбас",0.938779331003495
2006,"Донецька область","Тельманівський район",20626,0.0215262290313197,0.912101231455445,"Донбас",0.933627460486764
2006,"Житомирська область","місто Житомир",131802,0.468961017283501,0.429045082775679,"Серединний пояс",0.89800610005918
2006,"Житомирська область","місто Бердичів",42985,0.48035361172502,0.415005234384087,"Серединний пояс",0.895358846109108
2006,"Житомирська область","Бердичівський район",19830,0.517650025214322,0.353706505295008,"Серединний пояс",0.871356530509329
2006,"Житомирська область","Чуднівський район",23584,0.488424355495251,0.408073270013569,"Серединний пояс",0.89649762550882
2006,"Житомирська область","Андрушівський район",21675,0.494671280276817,0.386989619377163,"Серединний пояс",0.881660899653979
2006,"Житомирська область","Попільнянський район",21179,0.581141696963974,0.309599131214883,"Серединний пояс",0.890740828178856
2006,"Житомирська область","Ружинський район",20189,0.479617613551934,0.414681262073406,"Серединний пояс",0.89429887562534
2006,"Житомирська область","місто Коростень",33878,0.287797390636992,0.569071373752878,"Серединний пояс",0.85686876438987
2006,"Житомирська область","Коростенський район",18923,0.312159805527665,0.518945198964223,"Серединний пояс",0.831105004491888
2006,"Житомирська область","Хорошівський район",20055,0.431313886811269,0.436998254799302,"Серединний пояс",0.868312141610571
2006,"Житомирська область","місто Новоград-Волинський",28611,0.351682919156968,0.558875956799832,"Серединний пояс",0.9105588759568
2006,"Житомирська область","Пулинський район",13511,0.406557619717267,0.462512027237066,"Серединний пояс",0.869069646954333
2006,"Житомирська область","Новоград-Волинський район",28311,0.451379322524814,0.443431881600791,"Серединний пояс",0.894811204125605
2006,"Житомирська область","Ємільчинський район",22249,0.417681693559261,0.464829879994606,"Серединний пояс",0.882511573553868
2006,"Житомирська область","Олевський район",24800,0.429959677419355,0.448306451612903,"Серединний пояс",0.878266129032258
2006,"Житомирська область","Коростишівський район",21589,0.520820788364445,0.371253879290379,"Серединний пояс",0.892074667654824
2006,"Житомирська область","Житомирський район",39929,0.454506749480328,0.424303138070074,"Серединний пояс",0.878809887550402
2006,"Житомирська область","Брусилівський район",6519,0.549317379966253,0.343457585519251,"Серединний пояс",0.892774965485504
2006,"Житомирська область","місто Малин",12955,0.638595137012736,0.277113083751447,"Серединний пояс",0.915708220764184
2006,"Житомирська область","Малинський район",12913,0.458994811430341,0.409432354991094,"Серединний пояс",0.868427166421436
2006,"Житомирська область","Радомишльський район",22050,0.574557823129252,0.317278911564626,"Серединний пояс",0.891836734693878
2006,"Житомирська область","Черняхівський район",17029,0.431381760526161,0.447060896118386,"Серединний пояс",0.878442656644548
2006,"Житомирська область","Овруцький район",36331,0.32638793317002,0.533373702898351,"Серединний пояс",0.859761636068371
2006,"Житомирська область","Народицький район",6007,0.325953054769436,0.504245047444648,"Серединний пояс",0.830198102214084
2006,"Житомирська область","Лугинський район",11049,0.39976468458684,0.430808217938275,"Серединний пояс",0.830572902525115
2006,"Житомирська область","Баранівський район",24686,0.533419752086203,0.348456615085474,"Серединний пояс",0.881876367171676
2006,"Житомирська область","Любарський район",18037,0.493818262460498,0.380107556689028,"Серединний пояс",0.873925819149526
2006,"Житомирська область","Романівський район",17919,0.425023717841397,0.46676711870082,"Серединний пояс",0.891790836542218
2006,"Закарпатська область","місто Ужгород",58920,0.560794297352342,0.31091310251188,"Закарпаття",0.871707399864223
2006,"Закарпатська область","Ужгородський район",36998,0.483593707767987,0.265149467538786,"Закарпаття",0.748743175306773
2006,"Закарпатська область","місто Чоп",4864,0.351151315789474,0.286184210526316,"Закарпаття",0.637335526315789
2006,"Закарпатська область","Свалявський район",26314,0.502546173139774,0.333738694231208,"Закарпаття",0.836284867370981
2006,"Закарпатська область","Великоберезнянський район",15738,0.5073706951328,0.251111958317448,"Закарпаття",0.758482653450248
2006,"Закарпатська область","Воловецький район",14676,0.536999182338512,0.240051785227582,"Закарпаття",0.777050967566094
2006,"Закарпатська область","Міжгірський район",24287,0.581916251492568,0.268168155803516,"Закарпаття",0.850084407296084
2006,"Закарпатська область","Перечинський район",17165,0.533585785027673,0.259656277308477,"Закарпаття",0.793242062336149
2006,"Закарпатська область","місто Мукачево",32215,0.464597237311811,0.370665838894925,"Закарпаття",0.835263076206736
2006,"Закарпатська область","Мукачівський район",54609,0.566609899467121,0.234778150121775,"Закарпаття",0.801388049588896
2006,"Закарпатська область","місто Берегове",9621,0.413470533208606,0.330942729446004,"Закарпаття",0.74441326265461
2006,"Закарпатська область","Берегівський район",26199,0.321577159433566,0.290011069124776,"Закарпаття",0.611588228558342
2006,"Закарпатська область","Виноградівський район",54105,0.522169854911746,0.260548932630995,"Закарпаття",0.782718787542741
2006,"Закарпатська область","Іршавський район",45676,0.549916805324459,0.296742271652509,"Закарпаття",0.846659076976968
2006,"Закарпатська область","Тячівський район",63604,0.411483554493428,0.415524180869128,"Закарпаття",0.827007735362556
2006,"Закарпатська область","місто Хуст",14172,0.559977420265312,0.312517640417725,"Закарпаття",0.872495060683037
2006,"Закарпатська область","Хустський район",41538,0.37115412393471,0.464851461312533,"Закарпаття",0.836005585247243
2006,"Закарпатська область","Рахівський район",36584,0.637218456155697,0.214465340039361,"Закарпаття",0.851683796195058
2006,"Запорізька область","місто Запоріжжя",420959,0.230773068161032,0.668053183326642,"Південний-Схід",0.898826251487675
