"rayon","oblast","pop_2006","pop_2007","pop_2012","pop_2014","pop_2019","ua_2006","ua_2007","ua_2012","ua_2014","ua_2019","ru_2006","ru_2007","ru_2012","ru_2014","ru_2019","rayon_en"
"Біляївський район","Одеська область",0.10237641880363,0.145059388425575,0.125263353575412,0.108639147098991,0.61831712252758,0.0579391181779965,0.0424002471007778,0.162721526831082,0.420326886646989,0.0679874665448136,0.727812260441653,0.731530620840704,0.677562275374892,0.390061236177805,0.287486128337359,"Bilyayivka district"
"Валківський район","Харківська область",0.187633612892616,0.216975111678366,0.247949018458834,0.243091537132988,0.6402378592666,0.0966398070492792,0.115954052329292,0.153750366246704,0.411139896373057,0.0784605219689462,0.565477169325221,0.586790044671347,0.553179021388807,0.280397236614853,0.262553683515031,"Valky district"
"Варвинський район","Чернігівська область",0.402320914405375,0.530009233610342,0.543096788433948,0.237092790779725,0.758739962940086,0.157316115522206,0.197968605724838,0.17989184416731,0.663060096436552,0.105744286596665,0.362097548206963,0.206094182825485,0.229665599823419,0.055509820063507,0.0594193946880791,"Varva district"
"Васильківський район","Дніпропетровська область",0.0698739977090493,0.146252285191956,0.147232631882387,0.171164658634538,0.67590618336887,0.0448818077684057,0.0507165182520493,0.152997982127414,0.427871485943775,0.0495325569952436,0.70988232843903,0.734210060741877,0.668996829057365,0.318795180722892,0.254715433819911,"Vasylkivka district"
"Васильківський район","Київська область, Київ",0.476067069794228,0.576563269325455,0.391298554200813,0.130399075313298,0.709652561396455,0.158415841584158,0.151674052191039,0.233026850556333,0.779565640588879,0.194458404529768,0.262653110948679,0.201427868045298,0.318975281497768,0.0434967757634749,0.0681140483130633,"Vasylkivka district"
"Василівський район","Запорізька область",0.0849262037261069,0.124469137238932,0.126886941834688,0.110344569007536,0.589396797367259,0.0675054439874183,0.0431380534062482,0.132516978078046,0.380675640208466,0.0620058594533852,0.74866252654784,0.769183780324626,0.713888595657834,0.424206066514192,0.321306738371393,"Vasylivka district"
"Великобагачанський район","Полтавська область",0.319357766935209,0.400050289162685,0.291244654512717,0.217296205939261,0.775494816211122,0.109610802223987,0.156210711591652,0.291394703278566,0.643728442836712,0.0909519321394911,0.467547940542381,0.37874025647473,0.372496061219896,0.0893412972154454,0.114703110273327,"Velyka Bahachka district"
"Великоберезнянський район","Закарпатська область",0.225250984877367,0.328780487804878,0.321795646916566,0.119121743404883,0.721238519079633,0.283771762612784,0.290281425891182,0.188180169286578,0.752580698017368,0.11485654767541,0.251111958317448,0.315722326454034,0.462288391777509,0.071931836801573,0.0989489631663668,"Velykyi Bereznyi district"
"Великобурлуцький район","Харківська область",0.0885152926878671,0.116024216415051,0.118179221026569,0.139420185252015,0.465026362038664,0.0506380392951185,0.0659820675913863,0.0928483001618893,0.293997353542644,0.0558875219683656,0.768617919114172,0.744194957468005,0.755832777830683,0.502947191146397,0.461628588166374,"Velykyi Burluk district"
"Великобілозерський район","Запорізька область",0.0673948887056884,0.116424116424116,0.119141136423147,0.162805662805663,0.574740484429066,0.0507007419620775,0.045969045969046,0.111285676878764,0.371299871299871,0.0477508650519031,0.791838417147568,0.772233772233772,0.746530505367897,0.381917631917632,0.331833910034602,"Velyka Bilozerka district"
